Co./Last Name	Date	Customer PO	Item Number	Quantity	Description	Price
BP OIL New Zealand	14/07/2014		bptcev	8	BP T/C Evolution	$7.00

BP OIL New Zealand	16/07/2014	Karen	bptccml	8	BP T/C Change My Life	$7.00

Briscoes Group NZ Ltd	21/07/2014	7002346581	vaas24	12	Volere Acc. Asti 24pc Set(6)	$17.06
Briscoes Group NZ Ltd	21/07/2014	7002346581	vaas42	12	Volere Acc. Asti 42pc Set (6)	$28.28

Briscoes Group NZ Ltd	21/07/2014	7002347169	vcm56	3	Volere Milano 56pce Cutlery (3	$66.30
Briscoes Group NZ Ltd	21/07/2014	7002347169	vcp42	6	Volere Palermo 42pc Set (6)	$49.24
Briscoes Group NZ Ltd	21/07/2014	7002347169		0		$0.00

BP OIL New Zealand	22/07/2014	MARK	bp2goh	48	BP 2Go Thermal Mug with Handle	$4.95

Briscoes Group NZ Ltd	1/08/2014	4500067620	rc16	6	Rivet Cutlery 16pce Ass.	$11.70

Briscoes Group NZ Ltd	1/08/2014	7002362588	vcm24	12	Volere Milano 24pce cutlery	$26.81

Briscoes Group NZ Ltd	1/08/2014	7002362651	vdwgs350	12	V Double Wall Glass set 350ml	$8.40

Briscoes Group NZ Ltd	1/08/2014	7002362518	vcm42	12	Volere Milano 42pce Cutlery	$49.24
Briscoes Group NZ Ltd	1/08/2014	7002362518	vdwgs250	12	V Double Wall Glass set 250ml	$6.90

Briscoes Group NZ Ltd	3/08/2014	7002389706	stsd	3	Stone Soap Dish	$4.10
Briscoes Group NZ Ltd	3/08/2014	7002389706	sasp	3	Sandstone Soap Pump	$8.58
Briscoes Group NZ Ltd	3/08/2014	7002389706	icsp	3	Ice Crystal Soap Pump	$11.21
Briscoes Group NZ Ltd	3/08/2014	7002389706	brspg	3	Brampton Soap Pump Grey	$8.58
Briscoes Group NZ Ltd	3/08/2014	7002389706	brtbrg	3	Brampton Toiletbrush Grey	$17.55
Briscoes Group NZ Ltd	3/08/2014	7002389706	brtug	3	Brampton Tumbler Grey	$6.44
Briscoes Group NZ Ltd	3/08/2014	7002389706	brspw	3	Brampton Soap Pump White	$8.58
Briscoes Group NZ Ltd	3/08/2014	7002389706	hespbk	3	Heron Soap Pump Black	$8.80
Briscoes Group NZ Ltd	3/08/2014	7002389706	pmo	1	Personal Mirror Oval	$22.83
Briscoes Group NZ Ltd	3/08/2014	7002389706	aocb	6	Acrylic Organizer Cos & Bath	$14.00
Briscoes Group NZ Ltd	3/08/2014	7002389706	vsnbb35	6	Natural Bath Brush 35cm	$1.70
Briscoes Group NZ Ltd	3/08/2014	7002389706	vsnlwh	6	Natural Loofah on handle 35cm	$2.40
Briscoes Group NZ Ltd	3/08/2014	7002389706	vsnols	6	Natural Oval Loofah Sponge	$1.01
Briscoes Group NZ Ltd	3/08/2014	7002389706	vsnpsr	6	Natural Pumice Stone on Rope	$0.35
Briscoes Group NZ Ltd	3/08/2014	7002389706	vspbb37	6	Plastic Bath Brush 37cm	$1.51
Briscoes Group NZ Ltd	3/08/2014	7002389706	sttbr	6	Stone Toiletbrush Holder	$17.55

Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	12	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	12	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	12	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	12	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tk	30	laguiole 6pce Table Knife Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	12	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	12	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	12	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541	l3ch	6	laguiole 3pce Cheese Set Wood	$23.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	12	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	6	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	6	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	12	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	12	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	12	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6ss	12	laguiole 6pce Soup Spoon Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6tf	12	laguiole 6pce Table Fork Col	$14.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l6te	6	laguiole 6pce Tea Spoon Col	$14.00

Briscoes Group NZ Ltd	4/08/2014	4500067541	l2ck	6	laguiole 2pce Carving Knife Wd	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541	l2se	6	laguiole 2pce Serving Set Wood	$16.50
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00

Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
Briscoes Group NZ Ltd	4/08/2014	4500067541		0		$0.00
